FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,AA,1199,STL,"St. Louis, MO",MO,ORD,"Chicago, IL",IL,730,725,-5,850,835,-15,0,0,80,70,258,,,,,
1/1/2015,AA,1200,LAX,"Los Angeles, CA",CA,ORD,"Chicago, IL",IL,900,859,-1,1510,1459,-11,0,0,250,240,1744,,,,,
1/1/2015,AA,1201,AUS,"Austin, TX",TX,ORD,"Chicago, IL",IL,1420,1433,13,1655,1649,-6,0,0,155,136,978,,,,,
1/1/2015,AA,1201,ORD,"Chicago, IL",IL,AUS,"Austin, TX",TX,1050,1048,-2,1340,1344,4,0,0,170,176,978,,,,,
1/1/2015,AA,1202,SNA,"Santa Ana, CA",CA,ORD,"Chicago, IL",IL,1130,1130,0,1730,1725,-5,0,0,240,235,1726,,,,,
1/1/2015,AA,1203,DFW,"Dallas/Fort Worth, TX",TX,ABQ,"Albuquerque, NM",NM,1840,1853,13,1930,1953,23,0,0,110,120,569,0,7,10,0,6
1/1/2015,AA,1205,EWR,"Newark, NJ",NJ,MIA,"Miami, FL",FL,559,552,-7,902,849,-13,0,0,183,177,1085,,,,,
1/1/2015,AA,1206,SAT,"San Antonio, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,720,715,-5,830,812,-18,0,0,70,57,247,,,,,
1/1/2015,AA,1207,PHL,"Philadelphia, PA",PA,DFW,"Dallas/Fort Worth, TX",TX,625,909,164,920,1207,167,0,0,235,238,1303,164,0,3,0,0
1/1/2015,AA,1209,TPA,"Tampa, FL",FL,LAX,"Los Angeles, CA",CA,725,717,-8,955,948,-7,0,0,330,331,2158,,,,,
1/1/2015,AA,1210,MCO,"Orlando, FL",FL,MIA,"Miami, FL",FL,1435,1427,-8,1544,1543,-1,0,0,69,76,192,,,,,
1/1/2015,AA,1210,MIA,"Miami, FL",FL,MCO,"Orlando, FL",FL,1226,1233,7,1332,1331,-1,0,0,66,58,192,,,,,
1/1/2015,AA,1304,DFW,"Dallas/Fort Worth, TX",TX,DAY,"Dayton, OH",OH,1340,1435,55,1645,1732,47,0,0,125,117,861,47,0,0,0,0
1/1/2015,AA,1305,DSM,"Des Moines, IA",IA,DFW,"Dallas/Fort Worth, TX",TX,640,633,-7,900,857,-3,0,0,140,144,624,,,,,
1/1/2015,AA,1307,BNA,"Nashville, TN",TN,LAX,"Los Angeles, CA",CA,1810,1855,45,2040,2112,32,0,0,270,257,1797,16,0,0,0,16
1/1/2015,AA,1307,LAX,"Los Angeles, CA",CA,BNA,"Nashville, TN",TN,1135,1140,5,1725,1747,22,0,0,230,247,1797,0,0,22,0,0
1/1/2015,AA,1308,DFW,"Dallas/Fort Worth, TX",TX,MCO,"Orlando, FL",FL,1740,1817,37,2105,2152,47,0,0,145,155,985,25,0,10,0,12
1/1/2015,AA,1309,DFW,"Dallas/Fort Worth, TX",TX,TUS,"Tucson, AZ",AZ,950,943,-7,1115,1131,16,0,0,145,168,813,0,0,16,0,0
1/1/2015,AA,1309,TUS,"Tucson, AZ",AZ,DFW,"Dallas/Fort Worth, TX",TX,1200,1208,8,1505,1504,-1,0,0,125,116,813,,,,,
1/1/2015,AA,1310,CLE,"Cleveland, OH",OH,DFW,"Dallas/Fort Worth, TX",TX,1305,1353,48,1505,1605,60,0,0,180,192,1021,6,0,12,0,42
1/1/2015,AA,1310,DFW,"Dallas/Fort Worth, TX",TX,CLE,"Cleveland, OH",OH,855,942,47,1225,1307,42,0,0,150,145,1021,42,0,0,0,0
1/1/2015,AA,1146,SEA,"Seattle, WA",WA,DFW,"Dallas/Fort Worth, TX",TX,1100,1049,-11,1645,1653,8,0,0,225,244,1660,,,,,
1/1/2015,AA,1147,MIA,"Miami, FL",FL,LAX,"Los Angeles, CA",CA,2100,2059,-1,2357,2343,-14,0,0,357,344,2342,,,,,
1/1/2015,AA,1148,DFW,"Dallas/Fort Worth, TX",TX,LGA,"New York, NY",NY,1515,1524,9,1930,1924,-6,0,0,195,180,1389,,,,,
1/1/2015,AA,1240,SJC,"San Jose, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,1015,1013,-2,1540,1542,2,0,0,205,209,1438,,,,,
1/1/2015,AA,1241,MCO,"Orlando, FL",FL,DFW,"Dallas/Fort Worth, TX",TX,900,857,-3,1100,1048,-12,0,0,180,171,985,,,,,
1/1/2015,AA,1242,FAT,"Fresno, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,700,745,45,1215,1300,45,0,0,195,195,1313,45,0,0,0,0
1/1/2015,AA,1244,DFW,"Dallas/Fort Worth, TX",TX,DAY,"Dayton, OH",OH,2005,2115,70,2315,11,56,0,0,130,116,861,0,0,0,0,56
1/1/2015,AA,1246,LGA,"New York, NY",NY,MIA,"Miami, FL",FL,1530,1532,2,1857,1857,0,0,0,207,205,1096,,,,,
1/1/2015,AA,1246,MIA,"Miami, FL",FL,LGA,"New York, NY",NY,1130,1130,0,1427,1414,-13,0,0,177,164,1096,,,,,
1/1/2015,AA,1247,BOS,"Boston, MA",MA,ORD,"Chicago, IL",IL,700,659,-1,905,910,5,0,0,185,191,867,,,,,
1/1/2015,AA,1251,DFW,"Dallas/Fort Worth, TX",TX,MCI,"Kansas City, MO",MO,2120,2135,15,2245,2308,23,0,0,85,93,460,0,0,8,0,15
