FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,DL,833,DTW,"Detroit, MI",MI,SAN,"San Diego, CA",CA,855,851,-4,1104,1053,-11,0,0,309,302,1956,,,,,
1/1/2015,DL,835,DFW,"Dallas/Fort Worth, TX",TX,SLC,"Salt Lake City, UT",UT,1420,1449,29,1612,1617,5,0,0,172,148,989,,,,,
1/1/2015,DL,835,SLC,"Salt Lake City, UT",UT,DFW,"Dallas/Fort Worth, TX",TX,955,1019,24,1334,1402,28,0,0,159,163,989,24,0,4,0,0
1/1/2015,DL,836,HNL,"Honolulu, HI",HI,ATL,"Atlanta, GA",GA,1735,1737,2,713,714,1,0,0,518,517,4502,,,,,
1/1/2015,DL,837,ATL,"Atlanta, GA",GA,HNL,"Honolulu, HI",HI,1050,1058,8,1605,1603,-2,0,0,615,605,4502,,,,,
1/1/2015,DL,838,ATL,"Atlanta, GA",GA,PBI,"West Palm Beach/Palm Beach, FL",FL,1735,1732,-3,1925,1912,-13,0,0,110,100,545,,,,,
1/1/2015,DL,839,DCA,"Washington, DC",VA,ATL,"Atlanta, GA",GA,1100,1059,-1,1302,1242,-20,0,0,122,103,547,,,,,
1/1/2015,DL,840,ATL,"Atlanta, GA",GA,MOB,"Mobile, AL",AL,2106,2112,6,2124,2122,-2,0,0,78,70,302,,,,,
1/1/2015,DL,841,CVG,"Cincinnati, OH",KY,TPA,"Tampa, FL",FL,1355,1354,-1,1606,1546,-20,0,0,131,112,773,,,,,
1/1/2015,DL,841,TPA,"Tampa, FL",FL,CVG,"Cincinnati, OH",KY,1655,1645,-10,1909,1852,-17,0,0,134,127,773,,,,,
1/1/2015,DL,844,TPA,"Tampa, FL",FL,MSP,"Minneapolis, MN",MN,1220,1219,-1,1449,1449,0,0,0,209,210,1306,,,,,
1/1/2015,DL,845,PBI,"West Palm Beach/Palm Beach, FL",FL,ATL,"Atlanta, GA",GA,1225,1220,-5,1417,1355,-22,0,0,112,95,545,,,,,
1/1/2015,DL,848,MSP,"Minneapolis, MN",MN,BOS,"Boston, MA",MA,1305,1312,7,1647,1634,-13,0,0,162,142,1124,,,,,
1/1/2015,DL,854,SFO,"San Francisco, CA",CA,DTW,"Detroit, MI",MI,700,701,1,1433,1428,-5,0,0,273,267,2079,,,,,
1/1/2015,DL,855,DTW,"Detroit, MI",MI,SLC,"Salt Lake City, UT",UT,1935,1929,-6,2142,2125,-17,0,0,247,236,1481,,,,,
1/1/2015,DL,856,DTW,"Detroit, MI",MI,STL,"St. Louis, MO",MO,1545,1542,-3,1632,1617,-15,0,0,107,95,440,,,,,
1/1/2015,DL,858,DTW,"Detroit, MI",MI,SEA,"Seattle, WA",WA,1202,1159,-3,1405,1359,-6,0,0,303,300,1927,,,,,
1/1/2015,DL,859,BOS,"Boston, MA",MA,MSP,"Minneapolis, MN",MN,1215,1212,-3,1439,1451,12,0,0,204,219,1124,,,,,
1/1/2015,DL,860,SNA,"Santa Ana, CA",CA,MSP,"Minneapolis, MN",MN,645,642,-3,1230,1222,-8,0,0,225,220,1522,,,,,
1/1/2015,DL,861,TLH,"Tallahassee, FL",FL,ATL,"Atlanta, GA",GA,1749,1746,-3,1905,1843,-22,0,0,76,57,223,,,,,
1/1/2015,DL,871,JAN,"Jackson/Vicksburg, MS",MS,ATL,"Atlanta, GA",GA,900,855,-5,1118,1104,-14,0,0,78,69,341,,,,,
1/1/2015,DL,872,DCA,"Washington, DC",VA,ATL,"Atlanta, GA",GA,700,703,3,906,845,-21,0,0,126,102,547,,,,,
1/1/2015,DL,873,STT,"Charlotte Amalie, VI",VI,ATL,"Atlanta, GA",GA,800,753,-7,1106,1102,-4,0,0,246,249,1599,,,,,
1/1/2015,DL,877,PHL,"Philadelphia, PA",PA,DTW,"Detroit, MI",MI,940,938,-2,1129,1120,-9,0,0,109,102,453,,,,,
1/1/2015,DL,878,OMA,"Omaha, NE",NE,DTW,"Detroit, MI",MI,800,759,-1,1057,1046,-11,0,0,117,107,651,,,,,
1/1/2015,DL,880,SLC,"Salt Lake City, UT",UT,STL,"St. Louis, MO",MO,940,943,3,1328,1328,0,0,0,168,165,1156,,,,,
1/1/2015,DL,880,STL,"St. Louis, MO",MO,SLC,"Salt Lake City, UT",UT,1403,1408,5,1619,1610,-9,0,0,196,182,1156,,,,,
1/1/2015,DL,881,DTW,"Detroit, MI",MI,DCA,"Washington, DC",VA,2012,2007,-5,2145,2122,-23,0,0,93,75,405,,,,,
1/1/2015,DL,882,SEA,"Seattle, WA",WA,DTW,"Detroit, MI",MI,1147,1142,-5,1855,1827,-28,0,0,248,225,1927,,,,,
1/1/2015,DL,883,LAX,"Los Angeles, CA",CA,MCO,"Orlando, FL",FL,2225,2222,-3,602,559,-3,0,0,277,277,2218,,,,,
1/1/2015,DL,885,ATL,"Atlanta, GA",GA,GRR,"Grand Rapids, MI",MI,1500,1500,0,1659,1701,2,0,0,119,121,640,,,,,
1/1/2015,DL,885,GRR,"Grand Rapids, MI",MI,ATL,"Atlanta, GA",GA,1735,1736,1,1951,1946,-5,0,0,136,130,640,,,,,
1/1/2015,DL,886,ATL,"Atlanta, GA",GA,LGA,"New York, NY",NY,645,644,-1,853,901,8,0,0,128,137,762,,,,,
1/1/2015,DL,887,ATL,"Atlanta, GA",GA,PDX,"Portland, OR",OR,1620,1630,10,1851,1837,-14,0,0,331,307,2172,,,,,
1/1/2015,DL,888,ATL,"Atlanta, GA",GA,MSP,"Minneapolis, MN",MN,1920,1919,-1,2104,2046,-18,0,0,164,147,907,,,,,
1/1/2015,DL,889,ATL,"Atlanta, GA",GA,RDU,"Raleigh/Durham, NC",NC,2150,2148,-2,2312,2301,-11,0,0,82,73,356,,,,,
1/1/2015,DL,891,MIA,"Miami, FL",FL,ATL,"Atlanta, GA",GA,625,621,-4,825,806,-19,0,0,120,105,594,,,,,
